,,
optimal,25, 177ms
,,
optimal,31, 210ms
,,
optimal,33, 201ms
,,
optimal,23, 207ms
,,
optimal,29, 207ms
,,
optimal,37, 220ms
,,
optimal,36, 187ms
,,
optimal,28, 1s
,,
optimal,46, 3s
,,
optimal,36, 4s
,,
satisfiable,35, 31s
,,
optimal,32, 2s
,,
optimal,33, 1s
,,
optimal,34, 3s
,,
optimal,42, 7s
,,
optimal,38, 3s
,,
optimal,50, 5s
,,
optimal,37, 4s
,,
optimal,36, 202ms
,,
optimal,19, 284ms
,,
optimal,30, 1s
,,
optimal,29, 366ms
,,
optimal,35, 190ms
,,
optimal,30, 256ms
,,
optimal,41, 291ms
,,
optimal,27, 220ms
,,
optimal,28, 270ms
,,
optimal,36, 194ms
,,
optimal,25, 191ms
,,
optimal,20, 1s
,,
optimal,43, 178ms
,,
optimal,31, 2s
,,
optimal,29, 175ms
,,
optimal,43, 2s
,,
optimal,32, 204ms
,,
optimal,45, 190ms
,,
optimal,26, 201ms
,,
optimal,33, 230ms
,,
optimal,31, 201ms
,,
optimal,29, 209ms
,,
optimal,32, 197ms
,,
optimal,28, 225ms
,,
optimal,27, 183ms
,,
optimal,29, 224ms
,,
optimal,29, 180ms
,,
optimal,36, 180ms
,,
optimal,29, 209ms
,,
optimal,22, 205ms
,,
optimal,47, 1s
,,
optimal,39, 724ms
,,
optimal,45, 1s
,,
optimal,45, 458ms
,,
optimal,57, 578ms
,,
